,Country,Happiness.Score,CO2perCap,Rank CO2
0,Norway,7.537000179,8.85,24.0
1,Denmark,7.521999836,5.86,44.0
2,Iceland,7.504000187000001,12.23,16.0
3,Switzerland,7.493999958,4.69,55.0
4,Finland,7.468999863,8.48,25.0
5,Netherlands,7.376999855,10.26,19.0
6,Canada,7.315999985,16.85,7.0
7,New Zealand,7.31400013,7.82,34.0
8,Sweden,7.28399992,5.13,52.0
9,Australia,7.28399992,16.45,8.0
10,Israel,7.212999821,8.04,33.0
11,Costa Rica,7.078999996,1.66,92.0
12,Austria,7.006000042,8.27,28.5
13,United States,6.993000031,15.74,10.0
14,Ireland,6.977000237,8.17,32.0
15,Germany,6.951000214,9.7,20.0
16,Belgium,6.890999794,9.12,22.0
17,Luxembourg,6.862999916000001,16.35,9.0
18,United Kingdom,6.714000225,5.73,45.0
19,Chile,6.65199995,5.0,53.0
20,United Arab Emirates,6.647999763,21.57,5.0
21,Brazil,6.635000229,2.35,78.0
22,Czech Republic,6.609000206,10.34,18.0
23,Argentina,6.598999977,4.74,54.0
24,Mexico,6.578000069,3.93,63.0
25,Singapore,6.5720000270000005,9.64,21.0
26,Malta,6.52699995,4.36,58.0
27,Uruguay,6.453999996,2.0,82.0
28,Guatemala,6.453999996,1.05,101.5
29,Panama,6.452000141,2.99,70.5
30,France,6.441999912000001,5.2,51.0
31,Thailand,6.423999786,4.05,62.0
34,Qatar,6.375,37.05,1.0
35,Colombia,6.3569998739999996,1.53,95.0
36,Saudi Arabia,6.343999863,19.39,6.0
37,Trinidad and Tobago,6.168000221000001,27.57,2.0
38,Kuwait,6.105000018999999,23.49,4.0
39,Slovakia,6.09800005,6.95,39.0
40,Bahrain,6.086999893,23.97,3.0
41,Malaysia,6.084000111,8.18,31.0
42,Nicaragua,6.071000099,0.95,106.0
43,Ecuador,6.007999897,2.38,77.0
44,El Salvador,6.002999783,1.23,97.0
45,Poland,5.97300005,8.36,27.0
46,Uzbekistan,5.971000195,2.99,70.5
47,Italy,5.964000225,6.08,42.0
48,Russia,5.962999821,12.26,15.0
49,Belize,5.9559998510000005,1.17,98.0
50,Japan,5.920000076,10.36,17.0
51,Lithuania,5.90199995,5.3,48.0
52,Algeria,5.872000217,3.87,64.0
53,Latvia,5.849999905,4.13,60.0
54,South Korea,5.837999821,13.21,13.0
55,Moldova,5.837999821,2.04,81.0
56,Romania,5.8249998089999995,4.12,61.0
57,Bolivia,5.822999954,1.85,84.5
58,Turkmenistan,5.8220000270000005,12.59,14.0
59,Kazakhstan,5.818999767,14.62,11.0
61,Slovenia,5.757999897,7.31,36.0
62,Peru,5.715000152999999,1.74,88.0
63,Mauritius,5.629000187000001,3.16,69.0
64,Cyprus,5.620999812999999,5.96,43.0
65,Estonia,5.611000061,13.66,12.0
66,Belarus,5.568999767,6.58,40.0
67,Libya,5.525000095,9.03,23.0
68,Turkey,5.5,5.32,47.0
69,Paraguay,5.493000031,0.96,105.0
71,Philippines,5.429999828,1.31,96.0
73,Jordan,5.335999966,2.53,76.0
74,Hungary,5.323999882,5.23,49.0
75,Jamaica,5.31099987,2.61,75.0
76,Croatia,5.293000221000001,4.17,59.0
78,China,5.2729997630000005,7.72,35.0
79,Pakistan,5.269000053,1.0,104.0
80,Indonesia,5.262000083999999,1.94,83.0
81,Venezuela,5.25,4.56,57.0
83,Morocco,5.235000134,1.72,89.5
84,Azerbaijan,5.234000206,3.31,67.0
85,Dominican Republic,5.230000018999999,2.15,80.0
86,Greece,5.2270002369999995,6.46,41.0
87,Lebanon,5.224999905,3.8,65.0
88,Portugal,5.195000172,5.5,46.0
89,Bosnia and Herzegovina,5.18200016,7.3,37.0
90,Honduras,5.181000233,1.14,100.0
92,Somalia,5.151000023,0.06,138.5
93,Vietnam,5.073999882,2.29,79.0
94,Nigeria,5.073999882,0.5,115.0
95,Tajikistan,5.040999889,0.64,111.5
96,Bhutan,5.011000156000001,1.8,87.0
97,Kyrgyzstan,5.004000187,1.85,84.5
98,Nepal,4.961999893,0.28,124.0
99,Mongolia,4.954999924,8.37,26.0
100,South Africa,4.828999996,8.25,30.0
101,Tunisia,4.804999828,2.74,73.0
103,Egypt,4.735000134,2.65,74.0
104,Bulgaria,4.714000225,7.0,38.0
105,Sierra Leone,4.709000111,0.17,130.0
106,Cameroon,4.695000172,0.41,117.0
107,Iran,4.691999912,8.27,28.5
108,Albania,4.644000053,1.72,89.5
109,Bangladesh,4.607999802,0.51,114.0
110,Namibia,4.573999882,1.7,91.0
111,Kenya,4.552999973,0.37,118.0
112,Mozambique,4.5500001910000005,0.26,125.5
114,Senegal,4.534999847,0.61,113.0
115,Zambia,4.513999939,0.29,123.0
116,Iraq,4.497000217,5.21,50.0
117,Gabon,4.465000153,3.24,68.0
118,Ethiopia,4.460000038,0.14,132.0
119,Sri Lanka,4.440000057,1.15,99.0
120,Armenia,4.375999928,1.65,93.0
121,India,4.315000057,1.83,86.0
122,Mauritania,4.291999817,0.67,108.0
124,Georgia,4.285999775,2.95,72.0
125,Congo (Kinshasa),4.28000021,1.05,101.5
126,Mali,4.190000057,0.05,140.0
128,Cambodia,4.168000221000001,0.66,109.0
130,Ghana,4.1199998860000004,0.65,110.0
131,Ukraine,4.096000195,4.65,56.0
132,Uganda,4.0809998510000005,0.12,133.5
133,Burkina Faso,4.032000065,0.18,129.0
134,Niger,4.027999878,0.12,133.5
135,Malawi,3.970000029,0.08,137.0
136,Chad,3.9360001089999996,0.06,138.5
137,Zimbabwe,3.875,0.73,107.0
138,Lesotho,3.808000088,0.34,120.0
139,Angola,3.7950000760000004,1.04,103.0
140,Afghanistan,3.79399991,0.32,121.5
141,Botswana,3.766000032,3.45,66.0
142,Benin,3.657000065,0.64,111.5
143,Madagascar,3.644000053,0.16,131.0
144,Haiti,3.6029999260000003,0.32,121.5
145,Yemen,3.592999935,0.44,116.0
147,Liberia,3.5329999919999997,0.24,127.0
148,Guinea,3.5069999689999998,0.21,128.0
149,Togo,3.4949998860000004,0.36,119.0
150,Rwanda,3.4709999560000004,0.09,136.0
151,Syria,3.461999893,1.55,94.0
152,Tanzania,3.348999977,0.26,125.5
153,Burundi,2.904999971,0.03,141.0
154,Central African Republic,2.6930000780000003,0.1,135.0
